Cross_val1, PCA_comp:200MLP layers: 900,300,300Cross_val1, PCA_comp:200MLP layers: 900,300,300Cross_val1, PCA_comp:200MLP layers: 900,300,300             precision    recall  f1-score   support
    class27       0.42      0.15      0.22        34
    class28       0.37      0.54      0.44        35
    class29       0.14      0.11      0.12        18

avg / total       0.37      0.36      0.35       951
Cross_val3, PCA_comp:100MLP layers: 800,300,300             precision    recall  f1-score   support

     class1       0.59      0.55      0.57        40
     class2       0.24      0.23      0.23        31
     class3       0.39      0.47      0.43        40
     class4       0.64      0.47      0.54        15
     class5       0.28      0.30      0.29        30
     class6       0.55      0.72      0.62        47
     class7       0.41      0.36      0.38        25
     class8       0.53      0.71      0.61        24
     class9       0.40      0.29      0.33        28
    class10       0.36      0.39      0.38        38
    class11       0.27      0.33      0.30        33
    class12       0.20      0.24      0.22        25
    class13       0.00      0.00      0.00        13
    class14       0.35      0.30      0.32        27
    class15       0.78      0.81      0.79        26
    class16       0.33      0.24      0.28        34
    class17       0.60      0.65      0.62        48
    class18       0.18      0.21      0.19        38
    class19       0.23      0.23      0.23        48
    class20       0.21      0.18      0.20        22
    class21       0.41      0.36      0.39        47
    class22       0.21      0.19      0.20        43
    class23       0.51      0.55      0.53        44
    class24       0.34      0.31      0.33        48
    class25       0.38      0.34      0.36        35
    class26       0.33      0.33      0.33        15
    class27       0.26      0.21      0.23        34
    class28       0.45      0.54      0.49        35
    class29       0.36      0.28      0.31        18

avg / total       0.38      0.39      0.38       951
Cross_val1, PCA_comp:40MLP layers: 700,1400,400             precision    recall  f1-score   support

     class1       0.61      0.57      0.59        40
     class2       0.36      0.32      0.34        31
     class3       0.32      0.33      0.32        40
     class4       0.41      0.47      0.44        15
     class5       0.25      0.27      0.26        30
     class6       0.56      0.64      0.59        47
     class7       0.32      0.32      0.32        25
     class8       0.65      0.71      0.68        24
     class9       0.19      0.18      0.19        28
    class10       0.55      0.45      0.49        38
    class11       0.35      0.42      0.38        33
    class12       0.26      0.24      0.25        25
    class13       0.44      0.31      0.36        13
    class14       0.27      0.30      0.28        27
    class15       0.59      0.62      0.60        26
    class16       0.33      0.26      0.30        34
    class17       0.64      0.56      0.60        48
    class18       0.32      0.29      0.31        38
    class19       0.25      0.27      0.26        48
    class20       0.30      0.27      0.29        22
    class21       0.38      0.45      0.41        47
    class22       0.17      0.19      0.18        43
    class23       0.41      0.43      0.42        44
    class24       0.40      0.40      0.40        48
    class25       0.29      0.26      0.27        35
    class26       0.47      0.47      0.47        15
    class27       0.28      0.24      0.25        34
    class28       0.46      0.54      0.50        35
    class29       0.21      0.17      0.19        18

avg / total       0.38      0.38      0.38       951
Cross_val1, PCA_comp:50MLP layers: 700,1400,400             precision    recall  f1-score   support

     class1       0.61      0.50      0.55        40
     class2       0.26      0.19      0.22        31
     class3       0.29      0.20      0.24        40
     class4       0.54      0.47      0.50        15
     class5       0.20      0.30      0.24        30
     class6       0.52      0.62      0.56        47
     class7       0.21      0.20      0.20        25
     class8       0.45      0.79      0.58        24
     class9       0.11      0.14      0.12        28
    class10       0.45      0.37      0.41        38
    class11       0.27      0.18      0.22        33
    class12       0.28      0.28      0.28        25
    class13       0.33      0.23      0.27        13
    class14       0.14      0.04      0.06        27
    class15       0.62      0.62      0.62        26
    class16       0.32      0.26      0.29        34
    class17       0.59      0.46      0.52        48
    class18       0.20      0.18      0.19        38
    class19       0.30      0.27      0.28        48
    class20       0.31      0.50      0.38        22
